CustomerID,Cluster
C0001,1
C0002,3
C0003,1
C0004,0
C0005,3
C0006,1
C0007,3
C0008,0
C0009,2
C0010,2
C0011,1
C0012,1
C0013,1
C0014,2
C0015,3
C0016,3
C0017,2
C0018,0
C0019,2
C0020,3
C0021,0
C0022,0
C0023,2
C0024,3
C0025,1
C0026,3
C0027,3
C0028,0
C0029,3
C0030,3
C0031,1
C0032,1
C0033,3
C0034,3
C0035,3
C0036,3
C0037,2
C0038,3
C0039,1
C0040,3
C0041,0
C0042,3
C0043,3
C0044,2
C0045,0
C0046,0
C0047,3
C0048,1
C0049,3
C0050,3
C0051,2
C0052,1
C0053,2
C0054,0
C0055,3
C0056,3
C0057,2
C0058,3
C0059,0
C0060,2
C0061,2
C0062,2
C0063,2
C0064,2
C0065,0
C0066,2
C0067,3
C0068,0
C0069,2
C0070,2
C0071,1
C0072,3
C0073,2
C0074,2
C0075,0
C0076,1
C0077,1
C0078,3
C0079,3
C0080,3
C0081,2
C0082,0
C0083,1
C0084,0
C0085,1
C0086,2
C0087,0
C0088,3
C0089,2
C0090,0
C0091,1
C0092,3
C0093,0
C0094,3
C0095,1
C0096,1
C0097,3
C0098,3
C0099,0
C0100,2
C0101,0
C0102,0
C0103,2
C0104,0
C0105,2
C0106,3
C0107,1
C0108,1
C0109,0
C0110,3
C0111,2
C0112,1
C0113,1
C0114,2
C0115,3
C0116,3
C0117,3
C0118,1
C0119,2
C0120,1
C0121,2
C0122,0
C0123,3
C0124,2
C0125,3
C0126,1
C0127,2
C0128,3
C0129,1
C0130,1
C0131,3
C0132,2
C0133,1
C0134,3
C0135,2
C0136,0
C0137,1
C0138,0
C0139,3
C0140,3
C0141,0
C0142,3
C0143,0
C0144,3
C0145,0
C0146,3
C0147,1
C0148,1
C0149,2
C0150,1
C0151,1
C0152,1
C0153,1
C0154,3
C0155,1
C0156,0
C0157,3
C0158,1
C0159,3
C0160,3
C0161,3
C0162,0
C0163,1
C0164,2
C0165,0
C0166,2
C0167,2
C0168,1
C0169,1
C0170,2
C0171,1
C0172,2
C0173,0
C0174,1
C0175,0
C0176,3
C0177,3
C0178,3
C0179,2
C0181,1
C0182,2
C0183,3
C0184,1
C0185,3
C0186,3
C0187,1
C0188,0
C0189,3
C0190,1
C0191,1
C0192,1
C0193,3
C0194,3
C0195,1
C0196,2
C0197,2
C0198,2
C0199,2
C0200,0
